EVENT_ID,CZ_NAME_STR,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,CZ_FIPS,TOR_LENGTH,TOR_WIDTH,END_DATE,END_TIME,TEMP_MIN,RAIN_SUM,WINDSPEED
1079102,WALTON CO.,01/22/2023,514,Tornado,131,0.78,85,01/22/2023,515,11.4,34.3,23.1
1079103,WAKULLA CO.,01/22/2023,1245,Tornado,129,0.33,200,01/22/2023,1246,11.6,28.7,24.8
1079101,WALTON CO.,01/25/2023,516,Tornado,131,0.57,50,01/25/2023,520,9.6,23.5,26.6
1079098,LIBERTY CO.,01/25/2023,834,Tornado,77,0.47,50,01/25/2023,835,12.3,31.2,23.1
1079095,LEON CO.,01/25/2023,1023,Tornado,73,3.24,550,01/25/2023,1027,12.8,20.2,24.6
1079904,WALTON CO.,02/09/2023,2026,Tornado,131,0.18,50,02/09/2023,2028,16.2,2.0,17.1
1084640,WALTON CO.,03/17/2023,1820,Tornado,131,0.12,25,03/17/2023,1821,13.1,9.5,29.0
1084624,BAY CO.,03/17/2023,1849,Tornado,5,5.2,25,03/17/2023,1857,17.3,9.2,29.4
1094919,BROWARD CO.,04/12/2023,1426,Tornado,11,0.01,10,04/12/2023,1427,21.0,27.6,33.8
1081994,BREVARD CO.,04/16/2023,1636,Tornado,9,0.48,100,04/16/2023,1638,21.4,9.3,13.9
1096378,PALM BEACH CO.,04/21/2023,836,Tornado,99,0.03,10,04/21/2023,838,21.1,1.8,11.1
1096384,BROWARD CO.,04/21/2023,1144,Tornado,11,0.06,10,04/21/2023,1145,20.8,2.8,12.3
1090316,CALHOUN CO.,04/27/2023,1314,Tornado,13,0.51,50,04/27/2023,1315,18.3,18.5,18.5
1090319,BAY CO.,04/27/2023,1404,Tornado,5,0.8,75,04/27/2023,1405,18.8,31.5,26.8
1090343,LIBERTY CO.,04/27/2023,1454,Tornado,77,2.5,960,04/27/2023,1505,18.8,10.1,18.0
1090333,WAKULLA CO.,04/27/2023,1621,Tornado,129,2.3,50,04/27/2023,1626,19.4,6.3,20.8
1090320,GADSDEN CO.,04/27/2023,1714,Tornado,39,1.48,75,04/27/2023,1718,18.5,7.6,18.8
1090317,MADISON CO.,04/27/2023,1742,Tornado,79,0.55,100,04/27/2023,1745,18.2,14.3,21.0
1094925,PALM BEACH CO.,04/28/2023,1833,Tornado,99,0.76,100,04/28/2023,1838,22.4,13.7,14.8
1094932,PALM BEACH CO.,04/29/2023,1610,Tornado,99,2.61,320,04/29/2023,1621,22.7,4.8,19.7
1085476,CHARLOTTE CO.,04/30/2023,534,Tornado,15,4.61,50,04/30/2023,541,23.0,10.4,33.9
1098590,MIAMI-DADE CO.,05/25/2023,1220,Tornado,86,0.6,75,05/25/2023,1222,21.9,14.8,18.4
1093341,BREVARD CO.,06/07/2023,1619,Tornado,9,1,300,06/07/2023,1624,22.7,22.7,10.0
1112718,FRANKLIN CO.,06/09/2023,1414,Tornado,37,0.34,50,06/09/2023,1415,24.4,4.5,12.7
1114139,ESCAMBIA CO.,06/15/2023,1935,Tornado,33,8.58,450,06/15/2023,2008,24.6,6.0,25.3
1114073,TAYLOR CO.,06/16/2023,120,Tornado,123,7.23,100,06/16/2023,144,22.6,3.0,27.1
1114074,JEFFERSON CO.,06/16/2023,209,Tornado,65,6.37,100,06/16/2023,223,20.6,16.7,18.8
1097178,LEE CO.,06/18/2023,1010,Tornado,71,0.01,10,06/18/2023,1011,24.7,14.7,24.0
1112720,WALTON CO.,06/19/2023,1016,Tornado,131,1.62,200,06/19/2023,1021,23.8,16.4,21.4